"Bin Number","Name","Zone","Part"
"AD0108A","Bin Location: AD0108A","M",""
"AD0108B","Bin Location: AD0108B","M",""
"AD0108C","Bin Location: AD0108C","M",""
"AD0108D","Bin Location: AD0108D","M",""
"AD0208A","Bin Location: AD0208A","M",""
"AD0208B","Bin Location: AD0208B","M",""
"AD0208C","Bin Location: AD0208C","M",""
"AD0208D","Bin Location: AD0208D","M",""
"AD0308A","Bin Location: AD0308A","M",""
"AD0308B","Bin Location: AD0308B","M",""
"AD0308C","Bin Location: AD0308C","M",""
"AD0308D","Bin Location: AD0308D","M",""
"AD0408A","Bin Location: AD0408A","M",""
"AD0408B","Bin Location: AD0408B","M",""
"AD0408C","Bin Location: AD0408C","M",""
"AD0408D","Bin Location: AD0408D","M",""
"AD0508A","Bin Location: AD0508A","M",""
"AD0508B","Bin Location: AD0508B","M",""
"AD0508C","Bin Location: AD0508C","M",""
"AD0508D","Bin Location: AD0508D","M",""
"AD0608A","Bin Location: AD0608A","M",""
"AD0608B","Bin Location: AD0608B","M",""
"AD0608C","Bin Location: AD0608C","M",""
"AD0608D","Bin Location: AD0608D","M",""
"AD0708A","Bin Location: AD0708A","M",""
"AD0708B","Bin Location: AD0708B","M",""
"AD0708C","Bin Location: AD0708C","M",""
"AD0708D","Bin Location: AD0708D","M",""
